topic,key,t_s,value
/planning/diagnostics,cycle_ms,59.317,22.404377
/control/diagnostics,cycle_time_ms,59.32,0.0
/control/diagnostics,cycle_time_ms,59.34,0.0
/control/diagnostics,cycle_time_ms,59.36,0.0
/control/diagnostics,cycle_time_ms,59.38,0.0
/control/diagnostics,cycle_time_ms,59.4,0.0
/planning/diagnostics,cycle_ms,59.418,22.496145
/control/diagnostics,cycle_time_ms,59.42,0.0
/control/diagnostics,cycle_time_ms,59.44,0.0
/control/diagnostics,cycle_time_ms,59.46,0.0
/control/diagnostics,cycle_time_ms,59.48,0.0
/control/diagnostics,cycle_time_ms,59.5,0.0
/planning/diagnostics,cycle_ms,59.517,19.804913
/control/diagnostics,cycle_time_ms,59.52,0.0
/control/diagnostics,cycle_time_ms,59.54,0.0
/control/diagnostics,cycle_time_ms,59.56,0.0
/control/diagnostics,cycle_time_ms,59.58,0.0
/control/diagnostics,cycle_time_ms,59.6,0.0
/planning/diagnostics,cycle_ms,59.617,19.42232
/control/diagnostics,cycle_time_ms,59.62,0.0
/control/diagnostics,cycle_time_ms,59.64,0.0
/control/diagnostics,cycle_time_ms,59.66,0.0
/control/diagnostics,cycle_time_ms,59.68,0.0
/control/diagnostics,cycle_time_ms,59.7,0.0
/planning/diagnostics,cycle_ms,59.712,18.292851
/control/diagnostics,cycle_time_ms,59.72,0.0
/control/diagnostics,cycle_time_ms,59.74,0.0
/control/diagnostics,cycle_time_ms,59.76,0.0
/control/diagnostics,cycle_time_ms,59.78,0.0
/control/diagnostics,cycle_time_ms,59.8,0.0
/planning/diagnostics,cycle_ms,59.813,18.420217
/control/diagnostics,cycle_time_ms,59.82,0.0
/control/diagnostics,cycle_time_ms,59.84,0.0
/control/diagnostics,cycle_time_ms,59.86,0.0
/control/diagnostics,cycle_time_ms,59.88,0.0
/control/diagnostics,cycle_time_ms,59.9,0.0
/planning/diagnostics,cycle_ms,59.916,17.571239
/control/diagnostics,cycle_time_ms,59.92,0.0
/control/diagnostics,cycle_time_ms,59.94,0.0
/control/diagnostics,cycle_time_ms,59.96,0.0
/control/diagnostics,cycle_time_ms,59.98,0.0
/control/diagnostics,cycle_time_ms,60.001,0.0
/planning/diagnostics,cycle_ms,60.009,14.184339
/control/diagnostics,cycle_time_ms,60.021,0.0
/control/diagnostics,cycle_time_ms,60.04,0.0
/perception/diagnostics,ground_ms,60.0,3.022658
/perception/diagnostics,cluster_ms,60.0,2.436415
/perception/diagnostics,fit_ms,60.0,1.307381
/perception/diagnostics,track_ms,60.0,0.106088
/perception/diagnostics,total_ms,60.0,6.972056
/control/diagnostics,cycle_time_ms,60.06,0.0
/control/diagnostics,cycle_time_ms,60.08,0.0
/control/diagnostics,cycle_time_ms,60.1,0.0
/planning/diagnostics,cycle_ms,60.113,15.804344
/control/diagnostics,cycle_time_ms,60.12,0.0
/control/diagnostics,cycle_time_ms,60.14,0.0
/control/diagnostics,cycle_time_ms,60.16,0.0
/control/diagnostics,cycle_time_ms,60.18,0.0
/control/diagnostics,cycle_time_ms,60.2,0.0
/planning/diagnostics,cycle_ms,60.211,15.445967
/control/diagnostics,cycle_time_ms,60.22,0.0
/control/diagnostics,cycle_time_ms,60.24,0.0
/control/diagnostics,cycle_time_ms,60.26,0.0
/control/diagnostics,cycle_time_ms,60.28,0.0
/control/diagnostics,cycle_time_ms,60.3,0.0
/planning/diagnostics,cycle_ms,60.311,14.352373
/control/diagnostics,cycle_time_ms,60.32,0.0
/control/diagnostics,cycle_time_ms,60.34,0.0
/control/diagnostics,cycle_time_ms,60.36,0.0
/control/diagnostics,cycle_time_ms,60.38,0.0
